-37,-62,-75,-56,2
-48,-59,-82,-48,4
-58,-49,-35,-80,3
-37,-58,-42,-78,1
-43,-56,-72,-69,2
-58,-58,-30,-78,3
-52,-60,-62,-35,4
-37,-54,-47,-64,1
-51,-52,-67,-64,2
-42,-47,-42,-79,3
-52,-70,-59,-47,4
-37,-58,-41,-72,1
-29,-40,-60,-78,1
-44,-75,-58,-46,4
-38,-51,-71,-63,2
-37,-49,-54,-71,3
-48,-68,-71,-61,2
-48,-60,-61,-40,4
-48,-64,-63,-58,3
-34,-60,-41,-61,1
-56,-59,-43,-77,3
-31,-53,-60,-68,1
-38,-57,-53,-67,2
-61,-74,-81,-44,4
-30,-49,-56,-77,1
-40,-72,-29,-69,3
-58,-66,-68,-34,4
-51,-56,-68,-64,2
-53,-66,-73,-45,4
-54,-74,-41,-59,3
-37,-50,-70,-52,2
-36,-55,-45,-75,1
-60,-58,-62,-63,3
-29,-54,-48,-62,1
-37,-58,-55,-61,2
-62,-64,-70,-46,4
-52,-64,-51,-55,2
-36,-59,-59,-75,1
-43,-60,-63,-45,4
-61,-53,-43,-59,3
-60,-61,-77,-42,4
-33,-36,-57,-71,1
-59,-44,-52,-70,3
-52,-56,-57,-58,2
-61,-69,-69,-36,4
-49,-54,-70,-53,2
-39,-37,-56,-77,1
-59,-48,-63,-63,3
-44,-51,-68,-59,2
-49,-69,-62,-41,4
-61,-44,-63,-61,3
-30,-46,-47,-71,1
-53,-64,-54,-68,3
-38,-45,-46,-79,1
-41,-55,-61,-62,2
-60,-64,-61,-37,4
-54,-56,-61,-58,2
-45,-63,-43,-68,3
-54,-69,-63,-46,4
-31,-50,-55,-73,1
-39,-53,-51,-61,1
-62,-67,-77,-42,4
-63,-48,-48,-64,3
-40,-65,-63,-72,2
-42,-64,-28,-72,3
-45,-59,-58,-37,4
-37,-59,-66,-55,2
-36,-40,-49,-71,1
-39,-51,-72,-73,2
-58,-74,-59,-50,4
-49,-58,-54,-70,3
-28,-55,-40,-75,1
-49,-53,-59,-53,2
-62,-71,-67,-42,4
-34,-63,-44,-72,1
-41,-68,-42,-79,3
-49,-53,-59,-71,2
-27,-53,-40,-62,1
-61,-46,-33,-80,3
-57,-66,-78,-45,4
-49,-45,-60,-77,3
-26,-48,-59,-65,1
-57,-63,-57,-37,4
-52,-68,-64,-52,2
-43,-45,-36,-82,3
-28,-47,-44,-78,1
-40,-66,-65,-52,2
-50,-60,-81,-33,4
-63,-48,-59,-78,3
-48,-62,-55,-73,2
-27,-56,-57,-60,1
-51,-66,-58,-47,4
-59,-42,-53,-76,3
-40,-51,-52,-68,1
-59,-69,-73,-50,4
-39,-60,-61,-52,2
-26,-43,-48,-71,1
-42,-49,-59,-83,3
-56,-75,-70,-35,4
-42,-58,-55,-68,2
-41,-56,-59,-59,2
-49,-74,-67,-45,4
-47,-68,-51,-81,3
-28,-46,-53,-67,1
-39,-48,-56,-75,1
-49,-65,-76,-37,4
-43,-63,-34,-80,3
-51,-65,-74,-71,2
-47,-50,-66,-60,2
-33,-36,-61,-64,1
-62,-71,-79,-50,4
-61,-67,-48,-64,3
-47,-74,-75,-42,4
-39,-59,-41,-62,1
-49,-51,-71,-60,2
-56,-50,-42,-76,3
-41,-52,-66,-67,2
-57,-71,-66,-39,4
-37,-53,-42,-67,1
-36,-56,-61,-67,3
-43,-63,-57,-47,4
-45,-49,-74,-59,2
-33,-54,-52,-65,1
-50,-56,-55,-69,3
-58,-64,-37,-63,3
-45,-64,-73,-41,4
-33,-36,-54,-79,1
-37,-53,-73,-62,2
-55,-59,-62,-62,2
-50,-60,-79,-40,4
-56,-63,-61,-63,3
-27,-40,-46,-65,1
-55,-68,-60,-47,4
-55,-70,-62,-60,3
-35,-35,-48,-67,1
-49,-71,-58,-52,2
-36,-48,-60,-59,1
-51,-65,-62,-59,2
-59,-73,-57,-45,4
-55,-49,-56,-80,3
-37,-58,-66,-54,2
-49,-60,-30,-78,3
-33,-48,-54,-72,1
-52,-72,-75,-44,4
-64,-72,-73,-37,4
-53,-56,-54,-72,3
-37,-41,-48,-80,1
-37,-62,-54,-65,2
-37,-65,-54,-68,1
-53,-58,-56,-56,2
-48,-66,-80,-43,4
-53,-50,-46,-74,3
-63,-54,-63,-61,3
-27,-43,-60,-73,1
-47,-63,-60,-69,2
-61,-61,-77,-49,4
-40,-59,-69,-69,2
-40,-59,-47,-60,1
-54,-73,-68,-39,4
-53,-56,-56,-82,3
-56,-59,-28,-82,3
-44,-64,-51,-69,2
-49,-67,-68,-38,4
-34,-44,-43,-65,1
-58,-67,-40,-63,3
-46,-51,-75,-64,2
-28,-65,-60,-70,1
-49,-75,-74,-41,4
